0;33;0;2515360;2617200;
0;21;0;2778160;2880000;
0;30;0;3099600;3201440;
1;33;0;2080;71280;
1;33;0;2002080;2071280;
1;33;0;4002080;4071280;
1;33;0;6002080;6071280;
1;20;0;71280;140480;
1;20;0;2071280;2140480;
1;15;0;140480;209680;
1;15;0;2140480;2209680;
1;30;0;209680;278880;
1;30;0;2209680;2278880;
1;30;0;4209680;4278880;
1;30;0;6209680;6278880;
2;33;0;2969120;3046560;
2;33;0;6969120;7046560;
2;20;0;3046560;3124000;
2;15;0;3124000;3201440;
2;30;0;3201440;3278880;
2;30;0;7201440;7278880;
3;33;0;1088640;1158240;
3;33;0;5088640;5158240;
3;23;0;1158240;1227840;
4;33;0;2418880;2515360;
4;33;0;6520720;6617200;
4;23;0;3108160;3204640;
5;33;0;2768800;2859040;
5;33;0;6768800;6859040;
5;20;0;2878800;2969040;
5;16;0;2969040;3059280;
6;33;1;696160;802080;
6;33;1;4696160;4802080;
6;21;1;815360;921280;
6;21;1;4815360;4921280;
6;28;1;934560;1040480;
6;16;1;1172960;1278880;
7;33;0;2859040;2964000;
7;33;0;6859040;6964000;
7;21;0;2964000;3068960;
7;21;0;6964000;7068960;
7;28;0;3068960;3173920;
7;16;0;3173920;3278880;
8;33;1;499200;561200;
8;33;1;4499200;4561200;
8;24;1;894800;956800;
9;33;1;561200;624320;
9;33;1;4561200;4624320;
9;24;1;956800;1019920;
10;33;0;802080;921280;
10;33;0;4802080;4921280;
10;21;0;921280;1040480;
10;21;0;4921280;5040480;
10;28;0;1040480;1159680;
10;17;0;1159680;1278880;
11;33;0;2334080;2375920;
11;33;0;6435920;6477760;
11;21;0;2559680;2601520;
11;21;0;6559680;6601520;
11;28;0;2601520;2643360;
11;18;0;2643360;2685200;
12;33;0;2296720;2334080;
12;33;0;6398560;6435920;
12;21;0;2522320;2559680;
12;21;0;6522320;6559680;
12;28;0;2564160;2601520;
12;18;0;2606000;2643360;
13;33;0;624320;696160;
13;33;0;4624320;4696160;
13;19;0;926080;997920;
13;19;0;4926080;4997920;
13;4;0;1030160;1102000;
13;4;0;5030160;5102000;
14;33;0;974080;1075680;
14;33;0;4974080;5075680;
14;19;0;1075680;1177280;
14;19;0;5075680;5177280;
14;4;0;1177280;1278880;
14;4;0;5177280;5278880;
15;33;0;2375920;2418880;
15;33;0;6477760;6520720;
15;21;0;2625280;2668240;
15;21;0;6625280;6668240;
15;27;0;2668240;2711200;
15;10;0;2730400;2773360;
16;33;0;2617200;2690880;
16;33;0;6617200;6690880;
16;19;0;2690880;2764560;
16;19;0;6690880;6764560;
16;3;0;2764560;2838240;
16;27;0;2838240;2911920;
16;10;0;2911920;2985600;
17;34;1;2238640;2288160;
17;29;1;2593040;2642560;
17;22;1;2749280;2798800;
18;34;0;2552000;2641520;
18;34;0;6552000;6641520;
18;29;0;2642560;2732080;
18;29;0;6642560;6732080;
18;22;0;3025200;3114720;
18;22;0;7025200;7114720;
19;34;0;2641520;2719440;
19;34;0;6641520;6719440;
19;26;0;2744720;2822640;
19;2;0;2822640;2900560;
19;22;0;3114720;3192640;
19;22;0;7114720;7192640;
20;34;0;2719440;2834080;
20;34;0;6719440;6834080;
20;28;0;2944640;3059280;
20;16;0;3059280;3173920;
21;34;0;2834080;2945280;
21;34;0;6834080;6945280;
21;26;0;2945280;3056480;
21;2;0;3056480;3167680;
21;24;0;3167680;3278880;
22;34;0;762400;848480;
22;34;0;4762400;4848480;
22;28;0;848480;934560;
22;14;0;1106720;1192800;
22;24;0;1192800;1278880;
23;34;1;2288160;2339520;
23;34;1;6288160;6339520;
23;28;1;2688560;2739920;
23;17;1;2944960;2996320;
24;34;1;2401680;2464080;
24;34;1;6401680;6464080;
24;28;1;2739920;2802320;
24;17;1;2996320;3058720;
25;34;1;2464080;2552000;
25;34;1;6464080;6552000;
25;28;1;2802320;2890240;
25;18;1;3041680;3129600;
26;34;1;2339520;2401680;
26;34;1;6339520;6401680;
26;27;1;2711200;2773360;
26;10;1;2773360;2835520;
27;35;0;2516960;2603680;
27;35;0;6516960;6603680;
27;22;0;2798800;2885520;
27;22;0;6798800;6885520;
28;35;0;2462640;2516960;
28;35;0;6462640;6516960;
28;22;0;2658160;2712480;
28;22;0;6658160;6712480;
29;35;0;874160;927680;
29;35;0;4874160;4927680;
29;20;0;983120;1036640;
29;16;0;1036640;1090160;
30;35;0;2603680;2687120;
30;35;0;6603680;6687120;
30;20;0;2795360;2878800;
30;16;0;2885600;2969040;
31;35;2;799280;874160;
31;35;2;4799280;4874160;
31;24;2;1065280;1140160;
32;35;0;741840;799280;
32;35;0;4741840;4799280;
32;24;0;837360;894800;
33;35;1;2799440;2872480;
33;35;1;6799440;6872480;
33;20;1;2973520;3046560;
33;17;1;3058720;3131760;
34;35;0;2295120;2358160;
34;19;0;2371600;2434640;
34;4;0;2902080;2965120;
35;35;0;2358160;2434640;
35;35;0;6358160;6434640;
35;19;0;2434640;2511120;
35;19;0;6434640;6511120;
35;4;0;2965120;3041600;
35;4;0;6965120;7041600;
36;35;0;2687120;2782400;
36;35;0;6687120;6782400;
36;19;0;2782400;2877680;
36;19;0;6782400;6877680;
36;1;0;2884000;2979280;
36;10;0;2985600;3080880;
37;35;0;927680;997920;
37;35;0;4927680;4997920;
37;19;0;997920;1068160;
37;19;0;4997920;5068160;
37;3;0;1068160;1138400;
37;27;0;1138400;1208640;
37;10;0;1208640;1278880;
38;35;0;2872480;2974080;
38;35;0;6872480;6974080;
38;19;0;2974080;3075680;
38;19;0;6974080;7075680;
38;1;0;3075680;3177280;
38;10;0;3177280;3278880;
39;36;0;2486800;2550000;
39;14;0;2570560;2633760;
39;22;0;2885520;2948720;
39;22;0;6885520;6948720;
40;36;0;886880;965280;
40;13;0;965280;1043680;
40;9;0;1043680;1122080;
40;29;0;1122080;1200480;
40;29;0;5122080;5200480;
40;22;0;1200480;1278880;
40;22;0;5200480;5278880;
41;36;0;2446640;2486800;
41;15;0;2612080;2652240;
41;30;0;2807760;2847920;
41;30;0;6807760;6847920;
42;36;0;2654400;2732800;
42;15;0;2763120;2841520;
42;30;0;2958800;3037200;
42;30;0;6958800;7037200;
43;36;0;810720;841520;
43;15;0;965840;996640;
43;29;0;1028560;1059360;
43;29;0;5028560;5059360;
43;23;0;1127440;1158240;
44;36;0;2732800;2841520;
44;15;0;2841520;2950240;
44;29;0;2950240;3058960;
44;29;0;6950240;7058960;
44;24;0;3058960;3167680;
45;36;0;841520;886880;
45;14;0;974560;1019920;
45;24;0;1019920;1065280;
46;36;0;2392320;2446640;
46;17;0;2890640;2944960;
47;36;1;2550000;2654400;
47;18;1;2685200;2789600;
48;36;0;39600;119360;
48;36;0;2039600;2119360;
48;13;0;119360;199120;
48;13;0;2119360;2199120;
48;10;0;199120;278880;
48;10;0;2199120;2278880;
49;37;0;935440;978080;
49;22;0;1015280;1057920;
49;22;0;5015280;5057920;
50;37;0;978080;1057920;
50;22;0;1057920;1137760;
50;22;0;5057920;5137760;
51;37;0;2326160;2370640;
51;20;0;2607760;2652240;
51;15;0;2652240;2696720;
51;30;0;2847920;2892400;
51;30;0;6847920;6892400;
52;37;1;2448720;2511120;
52;19;1;2511120;2573520;
52;19;1;6511120;6573520;
52;3;1;2573520;2635920;
52;30;1;3037200;3099600;
52;30;1;7037200;7099600;
53;37;0;172320;225600;
53;37;0;2172320;2225600;
53;23;0;225600;278880;
53;23;0;2225600;2278880;
54;37;2;2978880;3043520;
54;23;2;3043520;3108160;
55;37;2;2300320;2326160;
55;21;2;2496480;2522320;
55;21;2;6496480;6522320;
55;28;2;2662720;2688560;
55;16;2;2790240;2816080;
56;37;2;758960;841760;
56;19;2;841760;924560;
56;19;2;4841760;4924560;
56;1;2;924560;1007360;
56;8;2;1007360;1090160;
56;16;2;1090160;1172960;
57;37;1;1075680;1103680;
57;20;1;1103680;1131680;
57;17;1;1131680;1159680;
58;37;0;2527120;2581520;
58;19;0;2581520;2635920;
58;19;0;6581520;6635920;
58;3;0;2635920;2690320;
58;28;0;2890240;2944640;
58;17;0;3131760;3186160;
59;37;0;2370640;2448720;
59;20;0;2711520;2789600;
59;18;0;2789600;2867680;
60;37;1;711360;758960;
60;19;1;794160;841760;
60;19;1;4794160;4841760;
60;4;1;982560;1030160;
60;4;1;4982560;5030160;
61;37;0;2697280;2781280;
61;21;0;2880000;2964000;
61;21;0;6880000;6964000;
61;26;0;3110880;3194880;
61;4;0;3194880;3278880;
61;4;0;7194880;7278880;
62;37;1;2636880;2697280;
62;21;1;2717760;2778160;
62;21;1;6819600;6880000;
62;26;1;2884880;2945280;
62;4;1;3041600;3102000;
62;4;1;7041600;7102000;
63;37;0;2781280;2877680;
63;19;0;2877680;2974080;
63;19;0;6877680;6974080;
63;1;0;2979280;3075680;
63;10;0;3080880;3177280;
64;38;0;933920;996640;
64;15;0;996640;1059360;
64;29;0;1059360;1122080;
64;29;0;5059360;5122080;
64;22;0;1137760;1200480;
64;22;0;5137760;5200480;
65;38;0;2555440;2631920;
65;14;0;2633760;2710240;
